player_id,player_name,country_code,birth_date,age,profile_total_earnings,profile_9_darters,profile_season_win_pct,profile_tour_card_years,profile_fdi_rating,profile_highest_average,profile_order_of_merit,profile_highest_tv_average,last_12_months_averages,last_12_months_180_s,last_12_months_checkout_pcnt,last_12_months_pcnt_legs_won,last_12_months_highest_checkout,last_12_months_first_9_averages,last_12_months_first_3_averages,last_12_months_with_throw_averages,last_12_months_against_throw_averages,last_12_months_pcnt_legs_won_throwing_first,last_12_months_pcnt_legs_won_throwing_second,last_12_months_171_180_s,last_12_months_140_s,last_12_months_131_140_s,last_12_months_functional_doubles_pcnt,api_rank,api_overall_stat,api_sum_field1,api_sum_field2
25764,Koichiro Terao,JPN,,,556.0,N/A,64.0,N/A,1490.0,91.09,N/A,0.0,79.23,12.0,27.14,53.52,160.0,86.77,84.62,77.05,81.52,62.86,44.44,13.0,30.0,40.0,33.04,639,79.23,33539,1270
20883,Andras Borbely,HUN,,,3578.0,N/A,64.0,N/A,1528.0,96.55,271.0,86.04,79.23,102.0,31.57,56.59,170.0,88.21,87.08,78.42,80.11,66.09,46.84,136.0,377.0,658.0,38.33,640,79.23,481271,18224
38602,Gregorio Academia,,,,0.0,N/A,56.0,N/A,N/A,95.12,N/A,0.0,79.21,4.0,26.09,52.63,144.0,89.35,87.18,77.4,81.25,62.07,42.86,6.0,36.0,40.0,30.61,641,79.21,26853,1017
25862,Owen Bryceland,SCO,,,0.0,N/A,50.0,N/A,1478.0,95.79,N/A,0.0,79.19,48.0,32.28,51.15,143.0,89.01,90.05,78.68,79.76,57.58,44.53,49.0,99.0,159.0,39.58,642,79.19,120719,4573
16665,Joey Lynaugh,USA,,,3823.0,N/A,59.0,N/A,1471.0,96.97,N/A,0.0,79.17,49.0,28.69,54.22,167.0,86.31,87.02,78.78,79.6,66.88,41.06,52.0,118.0,182.0,34.36,643,79.17,144244,5466
6773,Lukasz Waclawski,POL,,,1350.0,N/A,36.0,N/A,1477.0,94.34,N/A,83.03,79.13,39.0,31.3,43.8,170.0,85.47,83.55,78.49,79.79,54.0,34.12,53.0,150.0,243.0,35.64,644,79.13,187243,7099
2370,Kim Viljanen,FIN,04/12/1981,44,63744.0,N/A,73.0,9.0,1580.0,102.81,N/A,90.38,79.12,15.0,29.35,54.73,117.0,86.49,86.45,76.92,81.79,65.79,43.06,19.0,64.0,89.0,35.4,645,79.12,68857,2611
7561,Gillian Koehoorn,NED,,,3325.0,N/A,52.0,N/A,1505.0,98.56,N/A,0.0,79.11,39.0,31.13,49.78,150.0,86.52,85.22,77.91,80.36,68.18,32.48,41.0,77.0,134.0,38.44,646,79.11,105396,3997
5140,Noel Malicdem,PHI,,,35729.0,1.0,57.0,N/A,1502.0,115.62,N/A,93.77,79.1,43.0,31.83,57.88,125.0,87.63,88.94,78.76,79.46,63.51,52.08,43.0,164.0,192.0,39.02,647,79.10,137127,5201
2257,Kevin Painter,ENG,12/07/1967,58,927335.0,N/A,11.0,14.0,1397.0,108.63,N/A,101.02,79.09,17.0,33.62,33.05,150.0,82.17,83.19,77.85,80.51,44.07,22.03,18.0,43.0,60.0,43.28,648,79.09,52386,1987
35268,Timothy Verbrugghe,BEL,,,0.0,N/A,52.0,N/A,1497.0,98.76,N/A,0.0,79.08,23.0,30.04,49.65,151.0,87.59,88.56,79.69,78.46,62.32,37.5,25.0,65.0,80.0,35.18,649,79.08,64660,2453
39865,Bruno Nascimento,POR,,,0.0,N/A,80.0,N/A,1249.0,85.47,N/A,77.67,79.08,11.0,26.81,61.67,120.0,89.93,86.07,77.43,80.86,65.52,64.29,12.0,34.0,39.0,31.36,650,79.08,28679,1088
22611,Shane de Jong,NED,,,1025.0,N/A,64.0,N/A,1461.0,96.97,N/A,0.0,79.05,48.0,30.2,58.38,160.0,88.22,88.81,78.14,80.11,69.19,46.82,53.0,134.0,216.0,36.47,651,79.05,169036,6415
14610,Jj Wright,,,,350.0,N/A,52.0,N/A,1446.0,103.66,N/A,0.0,79.04,40.0,30.96,52.94,158.0,86.54,84.39,78.6,79.52,63.87,42.02,40.0,99.0,147.0,36.66,652,79.04,109582,4159
38732,Mika Donnevert,GER,,,0.0,N/A,74.0,N/A,1462.0,105.47,N/A,0.0,79.04,33.0,30.1,56.36,141.0,86.58,84.51,77.82,80.4,59.29,53.33,40.0,98.0,179.0,36.56,653,79.04,130440,4951
27370,Kam Weng Cheng,MAC,,,303.0,N/A,59.0,N/A,1458.0,93.03,N/A,0.0,79.02,34.0,29.43,53.93,130.0,87.29,88.49,77.82,80.33,56.25,51.58,34.0,99.0,125.0,36.04,654,79.02,89005,3379
